Date,Average of OEE VALUE
2024-01-01,82.96
2024-02-01,82.24
2024-03-01,80.34
2024-04-01,81.67
2024-05-01,81.17
2024-06-01,81.9
2024-07-01,83.45
2024-08-01,81.49
2024-09-01,81.41
2024-10-01,81.92
2024-11-01,81.68
2024-12-01,82.73
2025-01-01,83.24
2025-02-01,82.0
2025-03-01,81.36
2025-04-01,81.89
2025-05-01,81.89
2025-06-01,82.4
2025-07-01,83.38
2025-08-01,82.08
2025-09-01,81.62
2025-10-01,82.42
2025-11-01,82.15
2025-12-01,82.75
