Date,Average of OEE VALUE
2024-01-01,65.0
2024-02-01,65.69
2024-03-01,65.54
2024-04-01,65.5
2024-05-01,65.86
2024-06-01,66.37
2024-07-01,66.75
2024-08-01,65.8
2024-09-01,66.53
2024-10-01,66.04
2024-11-01,66.87
2024-12-01,66.39
2025-01-01,66.4
2025-02-01,66.5
2025-03-01,66.9
2025-04-01,67.29
2025-05-01,66.65
2025-06-01,66.84
2025-07-01,67.05
2025-08-01,67.14
2025-09-01,66.99
2025-10-01,66.67
2025-11-01,66.96
2025-12-01,66.97
