Date,Average of OEE VALUE
2023-01-01,66.25
2023-02-01,66.47
2023-03-01,66.76
2023-04-01,67.12
2023-05-01,67.46
2023-06-01,67.68
2023-07-01,67.68
2023-08-01,67.73
2023-09-01,67.72
2023-10-01,67.8
2023-11-01,67.85
2023-12-01,67.89
2024-01-01,67.97
2024-02-01,68.02
2024-03-01,67.99
2024-04-01,67.88
2024-05-01,67.84
2024-06-01,67.82
2024-07-01,67.88
2024-08-01,67.85
2024-09-01,67.8
2024-10-01,67.77
2024-11-01,67.74
2024-12-01,67.7
